Date_reported,Country,New_cases
2020-11-28,Bonaire,0
2020-11-29,Bonaire,0
2020-11-30,Bonaire,0
2020-12-01,Bonaire,1
2020-12-02,Bonaire,0
2020-12-03,Bonaire,1
2020-12-04,Bonaire,1
2020-12-05,Bonaire,0
2020-12-06,Bonaire,0
2020-12-07,Bonaire,0
2020-12-08,Bonaire,1
2020-12-09,Bonaire,0
2020-12-10,Bonaire,0
2020-12-11,Bonaire,3
2020-12-12,Bonaire,1
2020-12-13,Bonaire,0
2020-12-14,Bonaire,0
2020-12-15,Bonaire,4
2020-12-16,Bonaire,0
2020-12-17,Bonaire,0
2020-12-18,Bonaire,0
2020-12-19,Bonaire,0
2020-12-20,Bonaire,0
2020-12-21,Bonaire,0
2020-12-22,Bonaire,1
2020-12-23,Bonaire,0
2020-12-24,Bonaire,1
2020-12-25,Bonaire,2
2020-12-26,Bonaire,0
2020-12-27,Bonaire,0
2020-12-28,Bonaire,0
2020-12-29,Bonaire,1
2020-12-30,Bonaire,0
2020-12-31,Bonaire,3
2021-01-01,Bonaire,3
2021-01-02,Bonaire,0
2021-01-03,Bonaire,0
2021-01-04,Bonaire,0
2021-01-05,Bonaire,52
2021-01-06,Bonaire,8
2021-01-07,Bonaire,12
2021-01-08,Bonaire,12
2021-01-09,Bonaire,5
2021-01-10,Bonaire,0
2021-01-11,Bonaire,0
2021-01-12,Bonaire,31
2021-01-13,Bonaire,25
2021-01-14,Bonaire,5
2021-01-15,Bonaire,3
2021-01-16,Bonaire,11
2021-01-17,Bonaire,0
2021-01-18,Bonaire,0
2021-01-19,Bonaire,11
2021-01-20,Bonaire,6
2021-01-21,Bonaire,2
2021-01-22,Bonaire,1
2021-01-23,Bonaire,1
2021-01-24,Bonaire,0
2021-01-25,Bonaire,0
2021-01-26,Bonaire,4
2021-01-27,Bonaire,2
2021-01-28,Bonaire,4
2021-01-29,Bonaire,2
2021-01-30,Bonaire,0
2021-01-31,Bonaire,0
2021-02-01,Bonaire,0
2021-02-02,Bonaire,4
2021-02-03,Bonaire,0
2021-02-04,Bonaire,0
2021-02-05,Bonaire,0
2021-02-06,Bonaire,0
2021-02-07,Bonaire,0
2021-02-08,Bonaire,0
2021-02-09,Bonaire,2
2021-02-10,Bonaire,0
2021-02-11,Bonaire,0
2021-02-12,Bonaire,1
2021-02-13,Bonaire,3
2021-02-14,Bonaire,0
2021-02-15,Bonaire,0
2020-01-03,Brazil,0
2020-01-04,Brazil,0
2020-01-05,Brazil,0
2020-01-06,Brazil,0
2020-01-07,Brazil,0
2020-01-08,Brazil,0
2020-01-09,Brazil,0
2020-01-10,Brazil,0
2020-01-11,Brazil,0
2020-01-12,Brazil,0
2020-01-13,Brazil,0
2020-01-14,Brazil,0
2020-01-15,Brazil,0
2020-01-16,Brazil,0
2020-01-17,Brazil,0
2020-01-18,Brazil,0
2020-01-19,Brazil,0
2020-01-20,Brazil,0
2020-01-21,Brazil,0
2020-01-22,Brazil,0
2020-01-23,Brazil,0
2020-01-24,Brazil,0
2020-01-25,Brazil,0
2020-01-26,Brazil,0
2020-01-27,Brazil,0
2020-01-28,Brazil,0
2020-01-29,Brazil,0
2020-01-30,Brazil,0
2020-01-31,Brazil,0
2020-02-01,Brazil,0
2020-02-02,Brazil,0
2020-02-03,Brazil,0
2020-02-04,Brazil,0
2020-02-05,Brazil,0
2020-02-06,Brazil,0
2020-02-07,Brazil,0
2020-02-08,Brazil,0
2020-02-09,Brazil,0
2020-02-10,Brazil,0
2020-02-11,Brazil,0
2020-02-12,Brazil,0
2020-02-13,Brazil,0
2020-02-14,Brazil,0
2020-02-15,Brazil,0
2020-02-16,Brazil,0
2020-02-17,Brazil,0
2020-02-18,Brazil,0
2020-02-19,Brazil,0
2020-02-20,Brazil,0
2020-02-21,Brazil,0
2020-02-22,Brazil,0
2020-02-23,Brazil,0
2020-02-24,Brazil,0
2020-02-25,Brazil,0
2020-02-26,Brazil,5
2020-02-27,Brazil,0
2020-02-28,Brazil,0
2020-02-29,Brazil,0
2020-03-01,Brazil,1
2020-03-02,Brazil,0
2020-03-03,Brazil,0
2020-03-04,Brazil,1
2020-03-05,Brazil,4
2020-03-06,Brazil,1
2020-03-07,Brazil,11
2020-03-08,Brazil,0
2020-03-09,Brazil,6
2020-03-10,Brazil,0
2020-03-11,Brazil,9
2020-03-12,Brazil,18
2020-03-13,Brazil,46
2020-03-14,Brazil,23
2020-03-15,Brazil,0
2020-03-16,Brazil,79
2020-03-17,Brazil,34
2020-03-18,Brazil,57
2020-03-19,Brazil,133
2020-03-20,Brazil,193
2020-03-21,Brazil,283
2020-03-22,Brazil,0
2020-03-23,Brazil,0
2020-03-24,Brazil,1297
2020-03-25,Brazil,0
2020-03-26,Brazil,232
2020-03-27,Brazil,0
2020-03-28,Brazil,482
2020-03-29,Brazil,502
2020-03-30,Brazil,487
2020-03-31,Brazil,352
2020-04-01,Brazil,323
2020-04-02,Brazil,1138
2020-04-03,Brazil,1119
2020-04-04,Brazil,1074
2020-04-05,Brazil,1146
2020-04-06,Brazil,1222
2020-04-07,Brazil,852
2020-04-08,Brazil,926
2020-04-09,Brazil,1661
2020-04-10,Brazil,2210
2020-04-11,Brazil,1930
2020-04-12,Brazil,1781
2020-04-13,Brazil,1089
2020-04-14,Brazil,1442
2020-04-15,Brazil,1261
2020-04-16,Brazil,1832
2020-04-17,Brazil,3058
2020-04-18,Brazil,2105
2020-04-19,Brazil,3257
2020-04-20,Brazil,2917
2020-04-21,Brazil,2055
2020-04-22,Brazil,1927
2020-04-23,Brazil,2498
2020-04-24,Brazil,2678
2020-04-25,Brazil,3735
2020-04-26,Brazil,3503
2020-04-27,Brazil,5514
2020-04-28,Brazil,3379
2020-04-29,Brazil,4613
2020-04-30,Brazil,5385
2020-05-01,Brazil,6276
2020-05-02,Brazil,7218
2020-05-03,Brazil,6209
2020-05-04,Brazil,4970
2020-05-05,Brazil,4588
2020-05-06,Brazil,6633
2020-05-07,Brazil,6935
2020-05-08,Brazil,10503
2020-05-09,Brazil,9888
2020-05-10,Brazil,10222
2020-05-11,Brazil,10611
2020-05-12,Brazil,6760
2020-05-13,Brazil,5632
2020-05-14,Brazil,9258
2020-05-15,Brazil,11385
2020-05-16,Brazil,13944
2020-05-17,Brazil,15305
2020-05-18,Brazil,14919
2020-05-19,Brazil,7938
2020-05-20,Brazil,13140
2020-05-21,Brazil,17408
