Date_reported,Anguilla,Argentina,Aruba,Bahamas,Barbados,Belize,Bermuda,Bonaire,Brazil,Canada,Chile,Colombia,Cuba,Curaçao,Dominica,Ecuador,Grenada,Guadeloupe,Guatemala,Guyana,Haiti,Honduras,Jamaica,Martinique,Mexico,Montserrat,Nicaragua,Panama,Paraguay,Peru,Saba,Suriname,Uruguay
2020-09-01,0,7187,149,32,0,29,0,0,16158,267,1752,8024,59,13,0,119,0,0,162,50,15,529,244,0,4129,0,0,728,631,7731,0,55,15
2020-09-02,0,9309,9,50,1,14,3,2,45961,1008,1419,7230,33,1,0,542,0,124,819,72,0,840,102,19,3719,0,114,917,557,4871,0,25,10
2020-09-03,0,10504,98,59,2,43,0,0,42659,477,1594,8901,61,2,0,1148,0,0,751,67,34,755,224,132,6476,0,0,570,676,5092,0,55,16
2020-09-04,0,10933,107,61,1,51,0,0,46934,498,1762,9270,88,4,0,903,0,94,714,9,0,757,140,7,4921,0,0,532,800,6308,0,60,15
2020-09-05,0,12026,81,49,0,17,2,0,43773,570,1968,8235,52,3,2,815,0,0,682,19,68,632,73,0,5937,0,0,830,821,6708,0,66,10
2020-09-06,0,10684,0,90,1,34,1,0,51194,631,1965,8488,32,0,0,870,0,0,441,15,0,640,68,4,6196,0,0,682,695,6703,0,37,17
2020-09-07,0,9924,0,0,1,42,0,1,30168,371,2076,8394,11,0,0,-8956,0,0,202,43,34,554,60,0,6319,0,0,709,1217,6854,0,68,16
2020-09-08,0,6986,157,70,0,67,0,0,14521,400,1764,8065,43,14,0,1003,0,0,145,9,0,412,79,0,4614,0,0,738,615,6275,0,26,10
2020-09-09,0,9215,33,39,1,46,0,0,10273,247,1267,5327,25,15,0,665,0,924,893,92,2,50,80,0,3486,0,104,535,867,1598,0,14,14
2020-09-10,0,12027,107,72,0,54,2,0,14279,1606,1486,7665,82,9,2,1409,0,0,901,53,14,404,140,181,5351,0,0,829,861,4615,0,59,19
2020-09-11,0,12259,141,64,0,4,0,0,35816,546,1642,7338,92,0,0,1040,0,0,684,90,53,379,114,0,4647,0,0,635,812,6586,0,28,29
2020-09-12,0,11905,89,93,0,34,0,0,40557,630,1866,7813,42,19,0,0,0,0,703,47,28,205,74,0,4857,0,0,673,605,7291,0,30,18
2020-09-13,0,11507,0,60,0,36,0,0,43718,702,2131,7424,60,0,0,1526,0,793,649,13,0,247,0,0,5935,0,0,615,881,6603,0,52,14
2020-09-14,0,10776,0,54,1,23,0,1,33523,515,2082,6876,31,0,0,3862,0,0,251,49,21,1087,260,0,5674,0,0,711,812,6162,0,50,7
2020-09-15,0,9056,227,46,2,22,0,1,14768,518,1685,7355,42,22,0,317,0,0,263,41,15,653,162,0,4408,0,0,704,493,6787,0,3,28
2020-09-16,0,9909,14,34,0,21,0,4,15155,1351,1550,5573,77,12,0,642,0,0,512,31,6,831,109,0,3335,0,102,459,670,4241,0,29,4
2020-09-17,0,11892,92,24,1,27,0,4,36653,793,1304,6698,73,23,0,1972,0,346,240,74,31,0,122,183,4771,0,0,628,811,4160,0,14,15
2020-09-18,0,11674,176,55,1,8,1,0,36820,944,1863,7787,57,18,0,732,0,0,740,26,26,1040,210,0,4444,0,0,634,1121,6380,0,20,29
