Fecha,Peru,Bolivia,Argentina,Chile
2020-06-06,4284,607,929,4207
2020-06-07,4202,483,840,5246
2020-06-08,4358,630,983,6405
2020-06-09,4757,285,774,4696
2020-06-10,3181,306,826,3913
2020-06-11,4040,695,1141,5737
2020-06-12,5087,637,1226,5596
2020-06-13,5965,884,1386,6754
2020-06-14,5961,764,1391,6509
2020-06-15,4383,913,1531,6938
2020-06-16,4604,617,1282,5143
2020-06-17,3256,614,1208,5013
2020-06-18,4164,810,1374,36179
2020-06-19,3752,802,1393,4475
2020-06-20,3480,814,1958,6290
2020-06-21,3537,977,2060,5355
2020-06-22,3413,1036,1634,5607
2020-06-23,3598,876,1581,4608
2020-06-24,2511,1105,2146,3804
2020-06-25,3363,896,2285,3649
2020-06-26,3879,1098,2635,4648
2020-06-27,3913,1016,2606,4296
2020-06-28,3762,920,2886,4406
2020-06-29,3625,1253,2401,4216
2020-06-30,3430,848,2189,4017
2020-07-01,2946,601,2335,3394
2020-07-02,2848,1094,2262,2650
2020-07-03,3264,1008,2667,2498
2020-07-04,3527,1301,2744,3548
2020-07-05,3595,1290,2845,3758
2020-07-06,3481,1253,2590,3685
2020-07-07,3638,1226,2439,3025
2020-07-08,2985,1212,2632,2462
2020-07-09,3575,1036,2979,2064
2020-07-10,3633,1439,3604,3133
2020-07-11,3537,1129,3663,3058
2020-07-12,3198,1452,3367,2755
2020-07-13,3064,1635,3449,3012
2020-07-14,3616,987,2657,2616
2020-07-15,3797,1063,3099,1836
2020-07-16,3744,1617,3645,1712
2020-07-17,3857,1351,4250,2493
2020-07-18,3862,1938,3623,2841
2020-07-19,3951,1946,4518,2307
2020-07-20,3963,2036,3223,2084
2020-07-21,4090,1444,4231,2099
2020-07-22,4091,1409,4019,1654
2020-07-23,4406,1366,5344,1719
2020-07-24,4463,1778,5782,2357
2020-07-25,4546,1117,6127,2545
2020-07-26,4865,1204,5493,2288
2020-07-27,3923,1825,4801,2198
2020-07-28,4913,1148,4205,2133
2020-07-29,4920,1752,4890,1877
2020-07-30,5288,1146,5939,1775
2020-07-31,5678,1207,5641,1961
2020-08-01,6809,1700,6377,2131
2020-08-02,0,1555,5929,1991
2020-08-03,14691,2004,5241,2073
2020-08-04,6667,1360,5376,1762
2020-08-05,4250,1693,4824,1469
2020-08-06,6790,1515,6792,1761
2020-08-07,7734,1780,7147,1948
2020-08-08,7785,1282,7513,2154
2020-08-09,8466,1468,7482,2198
2020-08-10,7137,1164,6134,2033
2020-08-11,7012,944,4688,1988
2020-08-12,5109,1636,7369,1572
2020-08-13,6547,1693,7043,1552
2020-08-14,8875,1743,7663,1866
2020-08-15,9441,1388,7498,2077
2020-08-16,8300,1491,6365,1791
2020-08-17,9507,1196,6663,2044
2020-08-18,10143,1198,5469,1556
2020-08-19,5547,879,4557,1353
2020-08-20,7828,1796,6840,1182
2020-08-21,9099,2031,6693,1812
2020-08-22,8639,1015,8225,1920
2020-08-23,9008,1370,8159,1939
2020-08-24,9169,992,7759,1957
2020-08-25,9090,722,5352,1903
2020-08-26,6112,999,8713,1417
2020-08-27,6944,851,8771,1380
2020-08-28,5996,1095,10550,1737
2020-08-29,8619,1035,10104,1870
2020-08-30,7964,1280,11717,2037
2020-08-31,9474,945,9230,1965
2020-09-01,7731,614,7187,1752
2020-09-02,4871,630,9309,1419
2020-09-03,5092,669,10504,1594
2020-09-04,6308,661,10933,1762
2020-09-05,6708,853,12026,1968
2020-09-06,6703,799,10684,1965
2020-09-07,6854,661,9924,2076
2020-09-08,6275,528,6986,1764
2020-09-09,1598,835,9215,1267
2020-09-10,4615,704,12027,1486
2020-09-11,6586,1037,12259,1642
2020-09-12,7291,860,11905,1866
2020-09-13,6603,967,11507,2131
2020-09-14,6162,810,10776,2082
2020-09-15,6787,809,9056,1685
2020-09-16,4241,828,9909,1550
2020-09-17,4160,667,11892,1304
2020-09-18,6380,586,11674,1863
2020-09-19,5698,547,12701,1677
2020-09-20,6314,632,11945,1847
2020-09-21,6453,419,9276,1600
2020-09-22,6030,206,8431,1194
2020-09-23,4001,310,8782,1055
2020-09-24,3650,467,12027,1380
2020-09-25,6149,537,12625,1731
2020-09-26,6235,628,13467,2234
2020-09-27,5654,604,12969,2111
2020-09-28,5558,370,11249,1922
2020-09-29,5160,309,8841,1770
2020-09-30,3412,322,11807,1629
2020-10-01,3054,418,13477,1691
2020-10-02,3061,670,14392,1759
2020-10-03,3468,405,14001,1840
2020-10-04,3267,503,14687,1881
2020-10-05,3421,350,11129,1708
2020-10-06,3184,299,7668,1567
2020-10-07,1830,239,11242,1560
2020-10-08,2930,361,14740,1134
2020-10-09,2733,238,16447,1576
2020-10-10,2952,263,15454,1753
2020-10-11,4741,257,15099,1826
2020-10-12,2733,237,12414,1776
2020-10-13,3283,111,10324,1517
2020-10-14,1800,121,9524,1392
2020-10-15,2803,227,13305,1092
2020-10-16,2977,219,14932,1124
2020-10-17,2789,178,17096,1694
2020-10-18,2677,243,16546,1813
2020-10-19,3132,148,13510,1757
2020-10-20,3126,61,10561,1545
2020-10-21,2201,119,12982,1173
2020-10-22,3242,147,18735,1159
2020-10-23,2767,191,15928,1494
2020-10-24,2991,217,16325,1775
2020-10-25,3240,167,15718,1636
2020-10-26,3098,167,11968,1521
2020-10-27,2501,74,9253,1535
2020-10-28,1859,99,11712,927
2020-10-29,1923,172,14308,1005
2020-10-30,2431,197,13924,1520
2020-10-31,2666,163,13267,1521
2020-11-01,2586,147,13379,1685
2020-11-02,2323,126,9745,1608
2020-11-03,2408,76,6609,1324
2020-11-04,1634,34,9598,1014
2020-11-05,2357,69,13281,840
2020-11-06,2885,126,9516,1540
2020-11-07,2935,139,11100,1808
2020-11-08,2781,142,11786,1587
2020-11-09,2507,84,8037,1581
2020-11-10,2323,48,5331,1321
2020-11-11,1194,86,8317,1028
2020-11-12,1904,103,11977,897
2020-11-13,2575,112,10880,1634
2020-11-14,2231,113,11163,1592
2020-11-15,2413,180,11859,1646
2020-11-16,2249,112,8468,1597
2020-11-17,2112,65,5645,1331
2020-11-18,1257,125,7893,1006
2020-11-19,1663,102,10621,948
2020-11-20,2020,96,10332,1454
2020-11-21,1966,187,10097,1573
2020-11-22,2170,98,9608,1558
2020-11-23,1994,68,7140,1497
2020-11-24,1589,56,4184,1440
2020-11-25,887,56,4265,1007
2020-11-26,1882,113,7164,1005
2020-11-27,2020,129,8593,1570
2020-11-28,1888,114,9043,1561
2020-11-29,1977,104,7846,1718
2020-11-30,2044,98,6098,1489
2020-12-01,2162,30,5432,1313
2020-12-02,1075,86,5726,1121
2020-12-03,1623,102,8037,1034
2020-12-04,1847,184,7533,1508
2020-12-05,1771,192,7629,1729
2020-12-06,2014,139,6899,1533
2020-12-07,1828,167,5201,1714
2020-12-08,1224,68,3278,1760
2020-12-09,1204,97,3199,1392
2020-12-10,1505,189,3610,1244
2020-12-11,691,214,5303,1662
2020-12-12,1799,325,8154,1534
2020-12-13,1832,312,5952,1807
2020-12-14,2102,333,5274,2138
2020-12-15,1928,120,3558,1911
2020-12-16,1157,195,5062,1499
2020-12-17,1545,371,6981,1402
2020-12-18,1782,498,6843,2001
2020-12-19,2061,451,7326,2403
2020-12-20,2242,484,7002,2219
2020-12-21,2139,621,5795,2191
2020-12-22,1618,253,4116,1943
2020-12-23,958,362,5853,1701
2020-12-24,1678,674,8141,1725
2020-12-25,3829,1005,8586,2396
2020-12-26,0,1057,7815,2521
2020-12-27,1564,469,2874,2563
2020-12-28,772,759,3713,1711
2020-12-29,1339,494,5660,1923
2020-12-30,1251,751,6586,1958
2020-12-31,1588,1293,11650,1964
2021-01-01,2118,1485,11765,3023
2021-01-02,2523,1752,11586,3591
2021-01-03,2062,1931,4080,3338
2021-01-04,900,0,5240,2289
2021-01-05,1376,606,5884,2450
2021-01-06,1583,1010,8222,2460
2021-01-07,960,1597,13790,2382
2021-01-08,2414,1713,13441,3693
2021-01-09,2258,1910,13835,4205
2021-01-10,2781,2263,13346,4361
2021-01-11,2804,1644,11057,4181
2021-01-12,2909,1098,7808,3969
2021-01-13,2166,1392,8704,3243
2021-01-14,2881,1473,13783,3390
2021-01-15,3409,2057,12725,4187
2021-01-16,5022,2198,13286,4468
2021-01-17,7361,2573,12332,4313
2021-01-18,4544,2091,8932,4339
2021-01-19,4342,1503,7264,3918
2021-01-20,3893,1550,8185,3401
2021-01-21,4412,2357,12141,3589
2021-01-22,5461,2655,12112,4367
2021-01-23,4232,2648,11396,4959
2021-01-24,5189,1864,10753,4581
2021-01-25,5842,1732,8362,4463
2021-01-26,5075,1048,5031,4068
2021-01-27,3782,1781,7578,3322
2021-01-28,4444,2390,10409,3388
2021-01-29,6731,2866,10843,4255
2021-01-30,5715,2652,9471,4606
2021-01-31,6190,2666,9838,4151
2021-02-01,7147,2005,6902,4209
2021-02-02,5217,1438,4975,3779
2021-02-03,4477,1464,6614,3147
2021-02-04,7048,2127,9695,2610
2021-02-05,8573,2021,9196,3592
2021-02-06,6715,1787,8891,3782
2021-02-07,7993,1676,8374,0
2021-02-08,7433,1218,6680,0
2021-02-09,6220,839,3658,0
2021-02-10,4523,1220,5154,0
2021-02-11,5557,1544,0,0
2021-02-12,6724,1771,0,0
2021-02-13,8807,1352,0,0
2021-02-14,8439,0,0,0
2021-02-15,6457,0,0,0
