Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Belice;BLZ;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4531.423662;5112.745342;5740.606899;6118.515295;6127.731345;6137.281242;6124.782798;6237.364718;6328.218972;6756.762852;7559.295954;7867.537015;8139.930023;8799.769018;9171.967862;9383.184771;9823.536989;10123.34398;9878.206974;9628.795107;9623.86868;9592.130831;9113.474853;9314.225009;9246.723753;9317.196836;9161.625047;8873.754025;9008.736618;9409.597799;8124.983932;9626.573571;
Bermudas;BMU;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34870.74775;34955.55828;35990.57811;37749.20837;38518.41744;40763.38661;42317.92417;44753.95873;46678.6018;48664.53995;53921.77368;58484.1524;58138.39981;60908.03971;63578.19228;66239.46679;71656.72358;75627.24753;75193.34639;71022.30785;70627.82219;69998.84342;67453.82052;68993.22749;68775.44674;71873.22806;76362.05141;81834.95587;83368.62255;85129.07046;80286.44209;88185.46587;
Bolivia;BOL;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2294.728914;2446.015661;2491.526708;2606.575801;2732.442114;2865.227046;2988.572101;3132.592373;3267.226137;3267.432226;3364.024366;3436.37487;3514.591376;3617.40341;3802.810904;4025.109046;4273.038123;4509.210554;4794.6037;4902.610577;5079.382721;5363.987903;5814.070135;6500.876807;6920.778861;6992.127581;7345.826843;8244.933445;8668.553853;8888.701149;8100.529346;8846.081965;
Brasil;BRA;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6617.944703;6793.807941;6797.153941;7183.895866;7644.218602;8008.05893;8208.219593;8504.681479;8503.697887;8541.710725;8994.743062;9202.876484;9510.823883;9693.555482;10407.83935;10954.86026;11614.49854;12522.51594;13281.07439;13222.74888;14254.51977;14989.15778;14994.34347;15535.72377;15664.80174;14692.63231;14208.16111;14477.86177;14968.85475;15304.9077;14789.87856;16031.08617;
Barbados;BRB;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9647.546397;9565.103215;9197.459609;9461.670749;9831.026257;10216.25117;10796.82338;11484.77708;12027.96711;12213.82783;13022.00962;12965.14681;13217.20134;13717.52169;14231.07062;15202.8526;16571.63266;17307.87206;17675.1852;16824.55708;16568.36896;16749.03935;15726.2358;15747.13709;15575.95073;15947.42152;16370.74562;16198.96216;16386.19132;16628.16857;14561.85925;15110.95733;
Brunei Darussalam;BRN;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55168.25088;57099.02565;59512.9402;59542.96976;61175.54851;63693.09165;65179.13607;63863.7108;62830.2713;64276.50059;66212.60982;68169.50228;70522.90358;72627.3339;73618.9315;74921.41361;79312.33331;80302.21993;79040.28831;76993.47462;78784.82722;82300.65605;86588.60952;82305.27625;80027.9853;61572.6217;55477.4694;60173.05113;61075.28206;64016.75443;64977.30631;66055.2483;
Bhután;BTN;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1480.700363;1499.642142;1668.35152;1825.783424;1955.521444;2112.330851;2228.645322;2347.969878;2468.427024;2637.516976;2710.776229;2923.476871;3211.222078;3444.105914;3660.445001;3968.933542;4313.171394;5178.813183;5466.317807;5805.761962;6504.347934;7090.948277;7697.506415;7785.214064;8462.798599;9303.945982;10275.16059;10986.88814;11502.15678;12295.18374;11124.66713;11983.31697;
Botswana;BWA;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5817.927639;6280.197282;6424.048007;6511.805284;6702.913542;7134.36251;7501.264594;8076.126212;8023.186322;8733.650022;8922.185347;8964.661182;9478.370605;9936.891416;10298.09379;10907.14135;11957.32781;12739.03914;13136.16904;11119.57606;12139.49853;12976.26068;12069.46877;12833.27836;14338.57408;13420.5066;15277.04232;14656.77299;15319.52686;15756.04378;14287.51059;16304.15336;
República Centroafricana;CAF;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;634.1773245;632.0159695;585.9525806;582.8728009;605.1552947;644.3679787;613.6512745;639.2801578;658.4702554;672.8071176;652.3937607;681.3600112;701.3401453;660.417846;703.377201;715.7262427;757.6183289;798.8360794;813.8320694;870.4223047;902.7815842;945.5931285;1024.247563;683.9656325;670.1038234;733.7495807;787.4711684;839.6000095;875.065113;898.1373028;894.1933731;920.0784701;
Canadá;CAN;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25258.86056;26319.67416;27841.35335;29362.08416;30230.80297;30963.053;32349.94366;33925.70673;36327.22865;38119.4132;39575.30975;40376.30688;38865.41346;40099.44824;41666.70763;42290.96541;44298.57873;45753.75055;44670.08054;46472.34025;48317.17458;49992.76228;49783.53283;47126.77616;52712.24896;
