departamento,Provincia,Municipio,ciudad_comunidad,techo_teja
,Azurduy,Azurduy,BARBECHOS,34
,Azurduy,Azurduy,DURAZNAL,4
,Azurduy,Azurduy,HORCAS,3
,Azurduy,Azurduy,LA HOYADA,3
,Azurduy,Azurduy,LA RODEANA,0
,Azurduy,Azurduy,LOS PINOS,3
,Azurduy,Azurduy,MOLLE MOLLE,3
,Azurduy,Azurduy,PUJYUNI,4
,Azurduy,Azurduy,RODEO CHICO,6
,Azurduy,Azurduy,RODEO GRANDE,19
,Azurduy,Azurduy,SAN ANTONIO,2
,Azurduy,Azurduy,TABACAL,2
,Azurduy,Azurduy,TABLA MAYU,2
,Azurduy,Azurduy,TABLANI,4
,Azurduy,Azurduy,TAMBOS,0
,Azurduy,Azurduy,WANCARANI,15
,Azurduy,Azurduy,REY LOMA,1
,Azurduy,Azurduy,SAN LEON,0
,Azurduy,Azurduy,PAMPA SEPULTURA,18
,Azurduy,Azurduy,NAVOS PAMPA,13
,Azurduy,Azurduy,QUEHUEÑAL,49
,Azurduy,Azurduy,SAN MATIAS,7
,Azurduy,Azurduy,SANTA ROSA,26
,Azurduy,Azurduy,THIYU MAYU,27
,Azurduy,Azurduy,TORRECILLAS,26
,Azurduy,Tarvita,CRUZ MAYU,39
,Azurduy,Tarvita,PUCAMAYU,31
,Azurduy,Tarvita,THACOS,14
,Azurduy,Tarvita,CUÑURI PAMPA,20
,Azurduy,Tarvita,EL SALTO,39
,Azurduy,Tarvita,KATARI PAMPA,62
,Azurduy,Tarvita,MOLLENI,98
,Azurduy,Tarvita,TARVITA,139
,Azurduy,Tarvita,KOLLPA PAMPA,4
,Azurduy,Tarvita,YERBA BUENA,0
,Azurduy,Tarvita,THACO PAMPA,18
,Azurduy,Tarvita,SUMALA,0
,Azurduy,Tarvita,GUITARRANI,21
,Azurduy,Tarvita,TRANQUITAS,1
,Azurduy,Tarvita,LA MURALLA,11
,Azurduy,Tarvita,ABRA CKASA,66
,Azurduy,Tarvita,CAPACTALA,45
,Azurduy,Tarvita,INCA PAMPA,25
,Azurduy,Tarvita,LA SILLADA,34
,Azurduy,Tarvita,MARA PAMPA,28
,Azurduy,Tarvita,MOSOJ LLAJTA,39
,Azurduy,Tarvita,PAMPA GRANDE,1
,Azurduy,Tarvita,PUJYINI,11
,Azurduy,Tarvita,QUINUA CHACRA,21
,Azurduy,Tarvita,SAN ISIDRO DE MARCAVI,13
,Azurduy,Tarvita,SAN JOSE DE ALISOS,15
,Azurduy,Tarvita,SAN LUIS,1
,Azurduy,Tarvita,SAN MIGUEL DE MARCAVI,23
,Azurduy,Tarvita,EL CHACO,4
,Azurduy,Tarvita,GRANIZOS,2
,Azurduy,Tarvita,MOLLE CANCHA,18
,Azurduy,Tarvita,HORCANI,39
,Azurduy,Tarvita,SAN JOSE DE TROJE,9
,Azurduy,Tarvita,VISANCHE,21
,Azurduy,Tarvita,CHUNCA KANCHA,18
,Azurduy,Tarvita,PAMPA HUASI,183
,Azurduy,Tarvita,MANZANAYOJ,23
,Azurduy,Tarvita,MOLLE PAMPA,39
,Azurduy,Tarvita,PAMPAS DE LEQUE,2
,Azurduy,Tarvita,HUACHACA,28
,Azurduy,Tarvita,TORRE PAMPA,47
,Azurduy,Tarvita,LA MURALLA,12
,Azurduy,Tarvita,SAN JUAN DE LOS PINOS,14
,Azurduy,Tarvita,RIO GRANDE,38
,Azurduy,Tarvita,SAN PEDRO,127
,Azurduy,Tarvita,TAREA PAMPA,63
,Azurduy,Tarvita,TRIGO LOMA,21
,Azurduy,Tarvita,VILLA PAMPA,32
,Azurduy,Tarvita,EL BAÑADO,25
,Azurduy,Tarvita,CRUZ QASA,34
,Azurduy,Tarvita,TRANCAS,14
,Azurduy,Tarvita,KOLLPA PAMPA,22
,Zudáñez,Zudáñez,CAPILLA LLAVE,60
,Zudáñez,Zudáñez,ALISMAYU,32
,Zudáñez,Zudáñez,AYRAMPU,56
,Zudáñez,Zudáñez,CABRA CANCHA,90
,Zudáñez,Zudáñez,COILOLO,78
,Zudáñez,Zudáñez,HUACA HUASI,92
,Zudáñez,Zudáñez,MANDINGA,95
,Zudáñez,Zudáñez,MARCANI,40
,Zudáñez,Zudáñez,MAYU TORCOCO,81
,Zudáñez,Zudáñez,PASOTA,80
,Zudáñez,Zudáñez,PATA TORCOCO,60
,Zudáñez,Zudáñez,PUCARILLO,12
,Zudáñez,Zudáñez,PUNILLA,58
,Zudáñez,Zudáñez,SAN ANTONIO,45
,Zudáñez,Zudáñez,SUNCHU PAMPA,75
,Zudáñez,Zudáñez,SUNDUR HUASI,114
,Zudáñez,Zudáñez,THIPA THIPA,8
,Zudáñez,Zudáñez,TRANCA MAYU,38
,Zudáñez,Zudáñez,PARAJTI,29
,Zudáñez,Zudáñez,PIRHUA MAYU,62
,Zudáñez,Zudáñez,PUCA HUASI,75
,Zudáñez,Zudáñez,SAUCES,42
,Zudáñez,Zudáñez,SAYANCHACA,80
,Zudáñez,Zudáñez,TEJAS,38
,Zudáñez,Zudáñez,TOLEDO,13
,Zudáñez,Zudáñez,ZUDAÑEZ,441
,Zudáñez,Zudáñez,SAUCE MAYU,0
,Zudáñez,Presto,CHIMORE,13
,Zudáñez,Presto,CKOCHI,29
,Zudáñez,Presto,COCAYAPITO,1
,Zudáñez,Presto,COCHAPAMPA,1
,Zudáñez,Presto,CORRALON,1
,Zudáñez,Presto,EL PERAL,42
,Zudáñez,Presto,HUAYLLA PAMPA ALTA,8
,Zudáñez,Presto,HUAYLLA PAMPA BAJA,7
,Zudáñez,Presto,JARCAPAMPA,0
,Zudáñez,Presto,LLAVETANE,4
,Zudáñez,Presto,MACHACA,24
,Zudáñez,Presto,MISION PAMPA,1
,Zudáñez,Presto,MOTAYA,48
,Zudáñez,Presto,PRESTO PORVENIR,13
,Zudáñez,Presto,SAN JOSE DE TOCA,33
,Zudáñez,Presto,TORCO TORCO,7
