Departamento,Provincia,Municipio,Ciudad / Comunidad,pared_total,pared_ladrillo_cemento,pared_adobe_tapial,pared_tabique_quinche,pared_piedra,pared_madera,pared_canha_palma,pared_otro,techo_total,techo_calamina,techo_teja,techo_losa,techo_paja,techo_otro,piso_total,piso_tierra,piso_madera,piso_machimbre,piso_parquet,piso_ceramica,piso_cemento,piso_mosaico,piso_ladrillo,piso_otro
Cochabamba,Carrasco,Puerto Villarroel,SAN ANTONIO,28,0,0,0,0,14,14,0,28,14,2,0,12,0,28,28,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,VILLA VERDE,17,0,0,0,0,15,2,0,17,1,0,0,16,0,17,17,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SAN LUIS,36,0,0,0,0,11,24,1,36,17,0,0,18,1,36,36,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,MARIPOSAS,510,443,0,0,1,61,3,2,510,69,417,8,4,12,510,61,4,0,0,20,418,0,4,3
Cochabamba,Carrasco,Puerto Villarroel,PARAISO,315,209,2,0,1,71,25,7,315,74,226,3,1,11,315,98,1,0,0,10,202,0,3,1
Cochabamba,Carrasco,Puerto Villarroel,PADILLA A,54,1,0,0,0,34,19,0,54,36,1,0,15,2,54,52,0,0,0,0,2,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,2 DE AGOSTO,41,0,0,0,0,15,26,0,41,18,4,0,19,0,41,41,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,ALTO PARAISO A,63,0,0,0,0,31,32,0,63,11,1,0,51,0,63,63,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,ALTO SAN PABLO,164,67,0,0,0,89,8,0,164,50,110,0,4,0,164,87,4,0,0,1,71,0,1,0
Cochabamba,Carrasco,Puerto Villarroel,ANTOFAGASTA CHICA,11,0,0,0,0,10,1,0,11,6,3,0,0,2,11,11,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,ARANI,57,0,0,0,0,48,9,0,57,13,6,0,37,1,57,57,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,ARCO IRIS,54,0,0,0,0,29,25,0,54,23,2,0,29,0,54,54,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,AVAROA,7,0,0,0,0,7,0,0,7,6,0,0,1,0,7,7,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,AYOPAYA,162,27,0,0,4,112,17,2,162,32,97,0,33,0,162,109,1,0,0,0,52,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,CAMARGO,27,19,0,0,0,5,2,1,27,4,16,3,3,1,27,7,0,0,0,0,20,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,CERRO VERDE,41,0,0,0,0,22,18,1,41,33,2,0,6,0,41,41,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,CURABAMBA,13,0,0,0,0,5,8,0,13,4,3,0,6,0,13,13,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,COLOMI,12,0,0,0,0,7,5,0,12,0,4,0,8,0,12,12,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,INCA ROCA,32,0,0,0,0,0,32,0,32,7,3,0,22,0,32,32,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,IDEAL,9,1,0,0,0,4,4,0,9,3,3,0,1,2,9,8,0,0,0,0,1,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SAJAMA,59,4,0,0,0,55,0,0,59,0,58,0,1,0,59,52,0,0,0,0,7,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,POSTER VALLE,42,0,0,0,0,5,37,0,42,12,0,0,30,0,42,42,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,TAMBORADA A-3,9,0,0,0,0,8,1,0,9,3,4,0,2,0,9,9,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,JUVENTUD,51,3,0,0,0,47,1,0,51,8,20,0,23,0,51,48,0,0,0,0,3,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,LINARES,94,44,1,0,0,49,0,0,94,31,61,0,0,2,94,39,0,0,0,0,55,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,LITORAL,42,1,0,0,0,29,12,0,42,17,12,0,12,1,42,41,0,0,0,0,1,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,A MARIPOSAS,35,20,0,0,0,8,7,0,35,7,20,1,7,0,35,12,2,0,0,3,18,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,MARISCAL SANTA  CRUZ,26,0,0,0,0,4,10,12,26,11,0,0,10,5,26,26,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,MONTERREY,37,0,0,0,0,34,2,1,37,8,26,0,3,0,37,34,0,0,0,0,3,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,NUEVA ALIANZA,20,0,0,0,0,9,2,9,20,2,0,0,18,0,20,20,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,LITORAL A,21,0,0,0,0,19,2,0,21,4,11,0,1,5,21,20,0,0,0,0,0,0,0,1
Cochabamba,Carrasco,Puerto Villarroel,PALMITOS,46,0,0,0,0,27,18,1,46,20,9,0,16,1,46,46,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,PROGRESO,31,0,0,0,0,30,1,0,31,6,16,0,9,0,31,31,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SACABA,43,1,0,0,0,23,17,2,43,16,9,0,17,1,43,40,2,0,0,0,1,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SAN CARLOS,55,19,0,0,1,34,1,0,55,11,42,0,1,1,55,35,0,0,0,0,20,0,0,0
